This log file has 2520 entries
 Make      Color    Plate    YYYY MM DD hr min sec
 Toyota    Silver   CFCF-210 2021  2 24 10  1 40
 Ford      Green    BHRB-136 2021  2 24 10  2  0
 Mitsub    White    CDBB-429 2021  2 24 10  2 20
 Toyota    Black    ADZZ-956 2021  2 24 10  2 40
 VW        White    AHWZ-671 2021  2 24 10  3  0
 Honda     Green    ATNL-855 2021  2 24 10  3 20
 BMW       White    BNAA-160 2021  2 24 10  3 40
 Ford      beige    CBJZ-563 2021  2 24 10  4  0
 Mazda     beige    CNBE-151 2021  2 24 10  4 20
 VW        Red      BJME-708 2021  2 24 10  4 40
 Hyundai   Black    BCBT-855 2021  2 24 10  5  0
 L Rover   Green    AWET-543 2021  2 24 10  5 20
 L Rover   beige    BUTW-602 2021  2 24 10  5 40
 Toyota    Silver   CBDT-208 2021  2 24 10  6  0
 Honda     Gray     CGRU-480 2021  2 24 10  6 20
 GM        Gray     CMFU-789 2021  2 24 10  6 40
 Mitsub    Gray     ACNB-290 2021  2 24 10  7  0
 GM        Blue     CZUT-820 2021  2 24 10  7 20
 Nissan    Black    AEFR-497 2021  2 24 10  7 40
 Toyota    Silver   BTBZ-663 2021  2 24 10  8  0
 Hyundai   Blue     AJGC-887 2021  2 24 10  8 20
 Subaru    Silver   CHKW-722 2021  2 24 10  8 40
 Mitsub    beige    CGAX-197 2021  2 24 10  9  0
 BMW       Green    CNLJ-404 2021  2 24 10  9 20
 Mazda     Green    CBCF-847 2021  2 24 10  9 40
 VW        beige    CWLL-742 2021  2 24 10 10  0
 Subaru    Gray     AUGC-599 2021  2 24 10 10 20
 Mazda     Gray     CDTT-870 2021  2 24 10 10 40
 M Benz    Silver   AKZC-404 2021  2 24 10 11  0
 Fiat      Red      CUHU-726 2021  2 24 10 11 20
 Ford      Gray     BAWD-346 2021  2 24 10 11 40
 VW        Black    BRTE-924 2021  2 24 10 12  0
 Nissan    Green    ACLN-332 2021  2 24 10 12 20
 Subaru    White    CGKE-488 2021  2 24 10 12 40
 L Rover   Blue     ACBN-602 2021  2 24 10 13  0
 Toyota    White    BFMX-619 2021  2 24 10 13 20
 GM        Gray     BKRR-993 2021  2 24 10 13 40
 Toyota    Green    AELK-381 2021  2 24 10 14  0
 Jaguar    White    CMEK-993 2021  2 24 10 14 20
 Jaguar    White    BNHE-607 2021  2 24 10 14 40
 BMW       Blue     BKWM-679 2021  2 24 10 15  0
 Volvo     White    ANTC-749 2021  2 24 10 15 20
 GM        Blue     CLDL-723 2021  2 24 10 15 40
 Toyota    beige    CXHH-703 2021  2 24 10 16  0
 Dodge     Black    BLUX-932 2021  2 24 10 16 20
 L Rover   Gray     AAZX-800 2021  2 24 10 16 40
 M Benz    Silver   CBBM-330 2021  2 24 10 17  0
 Mitsub    Black    BZBC-971 2021  2 24 10 17 20
 Mitsub    Silver   BBNM-715 2021  2 24 10 17 40
 M Benz    Black    ABLG-328 2021  2 24 10 18  0
 Honda     beige    CGKH-698 2021  2 24 10 18 20
 VW        White    ANLA-713 2021  2 24 10 18 40
 Mazda     Red      BNTU-491 2021  2 24 10 19  0
 Subaru    Red      CHGG-522 2021  2 24 10 19 20
 M Benz    Silver   BMWD-374 2021  2 24 10 19 40
 M Benz    Silver   CHGZ-600 2021  2 24 10 20  0
 Toyota    Gray     BWTB-461 2021  2 24 10 20 20
 Toyota    White    BLZJ-879 2021  2 24 10 20 40
 BMW       Black    BBLZ-360 2021  2 24 10 21  0
 Toyota    Green    ALJF-710 2021  2 24 10 21 20
 Dodge     Gray     BGKG-131 2021  2 24 10 21 40
 Mazda     Blue     AMZB-385 2021  2 24 10 22  0
 Subaru    Green    CRTN-142 2021  2 24 10 22 20
 Hyundai   Green    ABXE-550 2021  2 24 10 22 40
 Mitsub    Blue     ARBT-370 2021  2 24 10 23  0
 Mitsub    Silver   AEFZ-279 2021  2 24 10 23 20
 BMW       Black    BNHG-831 2021  2 24 10 23 40
 M Benz    beige    BHTK-819 2021  2 24 10 24  0
 BMW       Silver   ATAW-771 2021  2 24 10 24 20
 Dodge     beige    CANN-298 2021  2 24 10 24 40
 GM        beige    BCNZ-498 2021  2 24 10 25  0
 BMW       White    CHTB-310 2021  2 24 10 25 20
 Mitsub    Gray     BEAT-592 2021  2 24 10 25 40
 BMW       Red      CTZT-345 2021  2 24 10 26  0
 Nissan    White    CCFK-736 2021  2 24 10 26 20
 Toyota    White    CLLL-645 2021  2 24 10 26 40
 Jaguar    Red      BFRZ-330 2021  2 24 10 27  0
 M Benz    beige    BXNL-190 2021  2 24 10 27 20
 Hyundai   Green    CWXU-586 2021  2 24 10 27 40
 Nissan    Gray     BAJR-475 2021  2 24 10 28  0
 Hyundai   Black    CFAW-900 2021  2 24 10 28 20
 Nissan    Black    ADMW-150 2021  2 24 10 28 40
 Ford      Green    ARDC-513 2021  2 24 10 29  0
 Honda     Silver   AWEL-257 2021  2 24 10 29 20
 Dodge     Silver   BWNL-572 2021  2 24 10 29 40
 Jaguar    Red      BDZK-563 2021  2 24 10 30  0
 Toyota    Green    CEHG-859 2021  2 24 10 30 20
 Volvo     Silver   CMDJ-221 2021  2 24 10 30 40
 Honda     beige    BNRE-235 2021  2 24 10 31  0
 Toyota    Green    CAZW-299 2021  2 24 10 31 20
 Ford      Red      BKKE-167 2021  2 24 10 31 40
 Ford      beige    CWFA-607 2021  2 24 10 32  0
 Toyota    beige    AEKE-125 2021  2 24 10 32 20
 Volvo     Blue     CWHB-762 2021  2 24 10 32 40
 Subaru    White    AFNK-764 2021  2 24 10 33  0
 L Rover   Silver   CDJL-694 2021  2 24 10 33 20
 Honda     Gray     ADUN-651 2021  2 24 10 33 40
 Mazda     Gray     BWKJ-379 2021  2 24 10 34  0
 Ford      Blue     ARDF-732 2021  2 24 10 34 20
 BMW       White    ACUG-538 2021  2 24 10 34 40
 L Rover   Silver   AFGN-484 2021  2 24 10 35  0
 Mitsub    Silver   BGLE-438 2021  2 24 10 35 20
 Hyundai   Black    AXAB-781 2021  2 24 10 35 40
 VW        Gray     CWTG-971 2021  2 24 10 36  0
 BMW       Black    AMGR-174 2021  2 24 10 36 20
 BMW       White    ACFD-142 2021  2 24 10 36 40
 M Benz    Gray     BFJD-832 2021  2 24 10 37  0
 Hyundai   Silver   CTTG-967 2021  2 24 10 37 20
 L Rover   Blue     CJKG-212 2021  2 24 10 37 40
 Honda     White    AKXJ-695 2021  2 24 10 38  0
 Jaguar    White    BFAD-888 2021  2 24 10 38 20
 Volvo     Blue     AXWG-522 2021  2 24 10 38 40
 Toyota    Silver   BZKU-765 2021  2 24 10 39  0
 Volvo     Blue     ARKG-782 2021  2 24 10 39 20
 Nissan    beige    CUUK-256 2021  2 24 10 39 40
 VW        Silver   AGGR-731 2021  2 24 10 40  0
 Toyota    Green    ABZM-795 2021  2 24 10 40 20
 Mazda     White    ALXJ-421 2021  2 24 10 40 40
 VW        White    CHCH-353 2021  2 24 10 41  0
 Mazda     Gray     AJCH-513 2021  2 24 10 41 20
 Subaru    Silver   AECL-403 2021  2 24 10 41 40
 Honda     Black    CNFK-601 2021  2 24 10 42  0
 Hyundai   Silver   BWED-578 2021  2 24 10 42 20
 Jaguar    Black    CRFA-398 2021  2 24 10 42 40
 Honda     Gray     CAUD-336 2021  2 24 10 43  0
 Subaru    Green    BZKM-659 2021  2 24 10 43 20
 Subaru    Blue     CFHT-561 2021  2 24 10 43 40
 Honda     White    AKJC-526 2021  2 24 10 44  0
 GM        Gray     AGZM-782 2021  2 24 10 44 20
 Toyota    Silver   AUEN-670 2021  2 24 10 44 40
 Dodge     Silver   AERG-568 2021  2 24 10 45  0
 Fiat      White    BXCX-356 2021  2 24 10 45 20
 L Rover   Red      BACW-678 2021  2 24 10 45 40
 Volvo     Red      ANJX-897 2021  2 24 10 46  0
 BMW       Red      ARRT-461 2021  2 24 10 46 20
 VW        Silver   BUEZ-917 2021  2 24 10 46 40
 Nissan    White    CMCA-878 2021  2 24 10 47  0
 Hyundai   Silver   AWBU-897 2021  2 24 10 47 20
 Hyundai   Red      CDRN-991 2021  2 24 10 47 40
 Toyota    Red      ABLH-444 2021  2 24 10 48  0
 BMW       Gray     BETW-419 2021  2 24 10 48 20
 VW        Gray     BEKK-646 2021  2 24 10 48 40
 Volvo     Green    BKMH-929 2021  2 24 10 49  0
 VW        Silver   CAEU-803 2021  2 24 10 49 20
 Toyota    Gray     CTJL-888 2021  2 24 10 49 40
 Subaru    Green    BWUK-599 2021  2 24 10 50  0
 M Benz    Black    ACRH-650 2021  2 24 10 50 20
 Subaru    Blue     CRXR-553 2021  2 24 10 50 40
 Dodge     Gray     BFWX-517 2021  2 24 10 51  0
 Volvo     Silver   CBJT-737 2021  2 24 10 51 20
 Mitsub    Gray     BEXM-762 2021  2 24 10 51 40
 M Benz    Black    BMNA-767 2021  2 24 10 52  0
 Jaguar    Silver   CJAE-456 2021  2 24 10 52 20
 Hyundai   Green    AAZL-253 2021  2 24 10 52 40
 Toyota    beige    BNCA-538 2021  2 24 10 53  0
 BMW       Green    BHCW-890 2021  2 24 10 53 20
 Fiat      Black    CDGG-414 2021  2 24 10 53 40
 Ford      Gray     AZJR-188 2021  2 24 10 54  0
 Toyota    Red      AZMC-357 2021  2 24 10 54 20
 Ford      Red      CWDJ-823 2021  2 24 10 54 40
 Volvo     Black    ARFX-323 2021  2 24 10 55  0
 Hyundai   Gray     BNBK-332 2021  2 24 10 55 20
 Subaru    Red      CAFF-294 2021  2 24 10 55 40
 Mitsub    beige    BBCN-407 2021  2 24 10 56  0
 Ford      Red      CATG-823 2021  2 24 10 56 20
 Dodge     beige    AUDD-245 2021  2 24 10 56 40
 Toyota    Green    BLBJ-737 2021  2 24 10 57  0
 Jaguar    beige    AEZU-777 2021  2 24 10 57 20
 Mitsub    Black    CNXU-649 2021  2 24 10 57 40
 VW        Silver   AKHF-900 2021  2 24 10 58  0
 Hyundai   Silver   AWFA-440 2021  2 24 10 58 20
 Jaguar    Red      CELG-532 2021  2 24 10 58 40
 Dodge     White    AXRJ-264 2021  2 24 10 59  0
 Mitsub    Red      BLBH-559 2021  2 24 10 59 20
 Toyota    White    CWEG-968 2021  2 24 10 59 40
 Toyota    Black    CCTR-219 2021  2 24 11  0  0
 Volvo     White    AKFR-621 2021  2 24 11  0 20
 L Rover   Silver   AXWM-552 2021  2 24 11  0 40
 Ford      Blue     AMUT-119 2021  2 24 11  1  0
 Fiat      Green    BWXM-759 2021  2 24 11  1 20
 Dodge     Green    ALXD-984 2021  2 24 11  1 40
 Mitsub    White    CLHH-304 2021  2 24 11  2  0
 Hyundai   beige    BCXA-313 2021  2 24 11  2 20
 Ford      Silver   BDGX-117 2021  2 24 11  2 40
 Toyota    Green    AKFW-843 2021  2 24 11  3  0
 M Benz    Black    BTHX-491 2021  2 24 11  3 20
 Ford      White    BBWW-163 2021  2 24 11  3 40
 Toyota    Gray     BJBT-763 2021  2 24 11  4  0
 BMW       Silver   CUHU-164 2021  2 24 11  4 20
 Nissan    White    BXDU-166 2021  2 24 11  4 40
 Fiat      Red      AEEM-728 2021  2 24 11  5  0
 Dodge     beige    BHGJ-856 2021  2 24 11  5 20
 GM        White    CUWG-167 2021  2 24 11  5 40
 Hyundai   Red      CXNH-325 2021  2 24 11  6  0
 Dodge     Green    BUGB-850 2021  2 24 11  6 20
 Fiat      Black    BLZB-750 2021  2 24 11  6 40
 Toyota    Gray     CUNN-587 2021  2 24 11  7  0
 Toyota    Silver   BJMW-214 2021  2 24 11  7 20
 Hyundai   Green    BUFK-778 2021  2 24 11  7 40
 L Rover   Black    AMJJ-981 2021  2 24 11  8  0
 Hyundai   Silver   CBAD-372 2021  2 24 11  8 20
 M Benz    White    CBHZ-309 2021  2 24 11  8 40
 Hyundai   beige    ANCR-453 2021  2 24 11  9  0
 M Benz    Silver   AEHR-775 2021  2 24 11  9 20
 VW        beige    AHBG-226 2021  2 24 11  9 40
 M Benz    Green    CUCD-637 2021  2 24 11 10  0
 Toyota    Gray     BDRC-508 2021  2 24 11 10 20
 Jaguar    Green    ADJL-378 2021  2 24 11 10 40
 Jaguar    White    AHGG-159 2021  2 24 11 11  0
 Jaguar    Green    AHRE-821 2021  2 24 11 11 20
 BMW       Silver   ARHX-692 2021  2 24 11 11 40
 M Benz    Gray     CCDX-292 2021  2 24 11 12  0
 M Benz    Red      ALJW-638 2021  2 24 11 12 20
 Volvo     Blue     AXAR-791 2021  2 24 11 12 40
 Honda     beige    CJMC-853 2021  2 24 11 13  0
 Ford      Black    CECC-310 2021  2 24 11 13 20
 Jaguar    Red      BFUM-885 2021  2 24 11 13 40
 Volvo     Black    CCCJ-368 2021  2 24 11 14  0
 Jaguar    Silver   AMMZ-990 2021  2 24 11 14 20
 Jaguar    beige    BCTN-992 2021  2 24 11 14 40
 Nissan    beige    ARFM-527 2021  2 24 11 15  0
 VW        Gray     BBTH-545 2021  2 24 11 15 20
 M Benz    White    CNKX-419 2021  2 24 11 15 40
 BMW       beige    CZTF-745 2021  2 24 11 16  0
 GM        White    CCJZ-279 2021  2 24 11 16 20
 L Rover   White    ABRB-576 2021  2 24 11 16 40
 Toyota    Black    BJHM-996 2021  2 24 11 17  0
 BMW       Blue     CBBM-144 2021  2 24 11 17 20
 Mazda     Black    BEHX-432 2021  2 24 11 17 40
 Jaguar    Black    BWZL-900 2021  2 24 11 18  0
 Subaru    Silver   AUKE-736 2021  2 24 11 18 20
 Mitsub    Black    BGFA-359 2021  2 24 11 18 40
 GM        beige    BBWZ-378 2021  2 24 11 19  0
 Dodge     Silver   CTKM-632 2021  2 24 11 19 20
 Toyota    White    ACKL-256 2021  2 24 11 19 40
 M Benz    Red      BKAE-415 2021  2 24 11 20  0
 Toyota    Blue     CHUZ-496 2021  2 24 11 20 20
 Dodge     beige    ADTX-875 2021  2 24 11 20 40
 Subaru    Black    BRKG-656 2021  2 24 11 21  0
 Dodge     Blue     BZWZ-672 2021  2 24 11 21 20
 Fiat      beige    AGTN-509 2021  2 24 11 21 40
 Jaguar    Gray     BJUC-846 2021  2 24 11 22  0
 GM        beige    AMLD-161 2021  2 24 11 22 20
 Nissan    White    CALF-563 2021  2 24 11 22 40
 Subaru    Green    CKDZ-913 2021  2 24 11 23  0
 Hyundai   Silver   CXAB-323 2021  2 24 11 23 20
 Toyota    Blue     AERB-877 2021  2 24 11 23 40
 Honda     Gray     ALZC-882 2021  2 24 11 24  0
 Mazda     White    AKRL-988 2021  2 24 11 24 20
 Toyota    White    AJDJ-659 2021  2 24 11 24 40
 GM        Silver   ABHJ-872 2021  2 24 11 25  0
 Nissan    Silver   BATD-128 2021  2 24 11 25 20
 Ford      Red      CFLD-584 2021  2 24 11 25 40
 BMW       Blue     BELC-364 2021  2 24 11 26  0
 Hyundai   Black    CMGN-659 2021  2 24 11 26 20
 L Rover   Blue     CKZJ-940 2021  2 24 11 26 40
 Subaru    Blue     AEJW-922 2021  2 24 11 27  0
 Honda     White    CGNG-221 2021  2 24 11 27 20
 Dodge     beige    BZDA-507 2021  2 24 11 27 40
 Volvo     Blue     CRCK-933 2021  2 24 11 28  0
 Nissan    Red      AZTG-447 2021  2 24 11 28 20
 GM        Silver   BMZW-453 2021  2 24 11 28 40
 Toyota    White    BJCB-380 2021  2 24 11 29  0
 VW        beige    AGNB-132 2021  2 24 11 29 20
 Volvo     Black    CRNM-300 2021  2 24 11 29 40
 Jaguar    Blue     CBGW-219 2021  2 24 11 30  0
 Ford      Green    AMER-374 2021  2 24 11 30 20
 VW        Silver   CNTZ-491 2021  2 24 11 30 40
 Toyota    Green    BRNW-458 2021  2 24 11 31  0
 Fiat      Red      AGUU-402 2021  2 24 11 31 20
 L Rover   beige    ANGC-155 2021  2 24 11 31 40
 Volvo     Blue     AEBG-443 2021  2 24 11 32  0
 Nissan    Gray     CDCE-653 2021  2 24 11 32 20
 Volvo     beige    BTFF-571 2021  2 24 11 32 40
 VW        White    AECG-147 2021  2 24 11 33  0
 Dodge     White    BWXL-782 2021  2 24 11 33 20
 Nissan    Silver   AELB-484 2021  2 24 11 33 40
 Volvo     Green    CUBL-205 2021  2 24 11 34  0
 L Rover   Silver   CWAJ-412 2021  2 24 11 34 20
 Subaru    Gray     BHEC-297 2021  2 24 11 34 40
 BMW       Silver   CKXE-608 2021  2 24 11 35  0
 Ford      White    ALUZ-688 2021  2 24 11 35 20
 Fiat      Blue     BZFE-231 2021  2 24 11 35 40
 VW        Blue     BAKU-162 2021  2 24 11 36  0
 VW        Blue     CZZM-868 2021  2 24 11 36 20
 Volvo     Black    AZAR-448 2021  2 24 11 36 40
 M Benz    Gray     ALXM-827 2021  2 24 11 37  0
 Toyota    beige    BCCA-468 2021  2 24 11 37 20
 M Benz    Red      BHAT-728 2021  2 24 11 37 40
 Volvo     Black    CBKZ-457 2021  2 24 11 38  0
 BMW       Red      BBAK-373 2021  2 24 11 38 20
 Dodge     Blue     ATDA-801 2021  2 24 11 38 40
 Volvo     Green    AHUW-326 2021  2 24 11 39  0
 Fiat      Red      BBFZ-481 2021  2 24 11 39 20
